topic_id,theme
373,"Media, Pundits, Journalists & Commentary"
374,Trump & Trump Family (core)
375,"2024 Election, Polls, Debates & Betting Markets"
376,Other / Low-Signal Clusters (mixed or unclear content)
377,Trump & Trump Family (core)
378,Other / Low-Signal Clusters (mixed or unclear content)
379,Entertainment & Celebrities
380,Trump & Trump Family (core)
381,Trump & Trump Family (core)
382,Trump & Trump Family (core)
383,Other / Low-Signal Clusters (mixed or unclear content)
384,Trump & Trump Family (core)
385,Casual / Everyday Chatter (non-political filler)
386,"2024 Election, Polls, Debates & Betting Markets"
387,Trump & Trump Family (core)
388,"Congress, Senate & Lawmakers"
389,Other / Low-Signal Clusters (mixed or unclear content)
390,Trump & Trump Family (core)
391,Biden Administration & Age/Cognitive Fitness
392,Other / Low-Signal Clusters (mixed or unclear content)
393,"Congress, Senate & Lawmakers"
394,Trump & Trump Family (core)
395,"Media, Pundits, Journalists & Commentary"
396,Other / Low-Signal Clusters (mixed or unclear content)
397,Biden Administration & Age/Cognitive Fitness
398,Trump & Trump Family (core)
399,Other / Low-Signal Clusters (mixed or unclear content)
400,"2024 Election, Polls, Debates & Betting Markets"
401,"2024 Election, Polls, Debates & Betting Markets"
402,"DOJ, FBI, Courts & Legal (SCOTUS, Immunity, Indictments)"
403,Trump & Trump Family (core)
404,International Affairs — Russia & Ukraine Conflict
405,Natural Disasters & FEMA Response
406,"Media, Pundits, Journalists & Commentary"
407,Sports
408,"2024 Election, Polls, Debates & Betting Markets"
409,Trump & Trump Family (core)
410,"Economy, Tax, Tariffs & Business"
411,"Economy, Tax, Tariffs & Business"
412,"2024 Election, Polls, Debates & Betting Markets"
413,Other / Low-Signal Clusters (mixed or unclear content)
414,"2024 Election, Polls, Debates & Betting Markets"
415,Trump & Trump Family (core)
416,"MAGA Movement, Base & Pro-Trump Influencer Accounts"
417,Trump & Trump Family (core)
418,"2024 Election, Polls, Debates & Betting Markets"
419,Trump & Trump Family (core)
420,Other / Low-Signal Clusters (mixed or unclear content)
421,"2024 Election, Polls, Debates & Betting Markets"
422,Trump & Trump Family (core)
423,"Government Officials & Cabinet (RFK, DeSantis, Newsom, etc.)"
424,Sports
425,"Media, Pundits, Journalists & Commentary"
426,Trump & Trump Family (core)
427,"Congress, Senate & Lawmakers"
428,International Affairs — Canada
429,"2024 Election, Polls, Debates & Betting Markets"
430,Biden Administration & Age/Cognitive Fitness
431,International Affairs — Russia & Ukraine Conflict
432,Trump Assassination Attempt(s)
433,Trump & Trump Family (core)
434,"2024 Election, Polls, Debates & Betting Markets"
435,Trump & Trump Family (core)
436,Other / Low-Signal Clusters (mixed or unclear content)
437,"2024 Election, Polls, Debates & Betting Markets"
438,Biden Administration & Age/Cognitive Fitness
439,Trump & Trump Family (core)
440,Trump & Trump Family (core)
441,Other / Low-Signal Clusters (mixed or unclear content)
442,"Economy, Tax, Tariffs & Business"
443,"Crypto, Bitcoin & DOGE"
444,International Affairs — Russia & Ukraine Conflict
445,"Congress, Senate & Lawmakers"
446,"International Affairs — UK, Ireland & Farage/Labour"
447,"Tech, Social Media & Elon Musk"
448,Trump & Trump Family (core)
449,Other / Low-Signal Clusters (mixed or unclear content)
451,Other / Low-Signal Clusters (mixed or unclear content)
452,Trump & Trump Family (core)
453,"Race, Identity, DEI & Social Justice"
454,Religion & Faith
455,"2024 Election, Polls, Debates & Betting Markets"
456,"Congress, Senate & Lawmakers"
457,Trump & Trump Family (core)
458,"2024 Election, Polls, Debates & Betting Markets"
459,Biden Administration & Age/Cognitive Fitness
460,Trump & Trump Family (core)
461,Trump & Trump Family (core)
462,Trump & Trump Family (core)
463,Trump & Trump Family (core)
464,Trump & Trump Family (core)
465,"Economy, Tax, Tariffs & Business"
466,Other / Low-Signal Clusters (mixed or unclear content)
467,Trump & Trump Family (core)
468,Other / Low-Signal Clusters (mixed or unclear content)
469,Biden Administration & Age/Cognitive Fitness
470,"2024 Election, Polls, Debates & Betting Markets"
471,Trump & Trump Family (core)
472,Other / Low-Signal Clusters (mixed or unclear content)
473,"2024 Election, Polls, Debates & Betting Markets"
474,"MAGA Movement, Base & Pro-Trump Influencer Accounts"
475,Biden Administration & Age/Cognitive Fitness
476,Biden Administration & Age/Cognitive Fitness
477,Other / Low-Signal Clusters (mixed or unclear content)
478,"Media, Pundits, Journalists & Commentary"
479,Trump & Trump Family (core)
480,"MAGA Movement, Base & Pro-Trump Influencer Accounts"
481,Other / Low-Signal Clusters (mixed or unclear content)
482,Trump & Trump Family (core)
483,"Congress, Senate & Lawmakers"
484,Trump & Trump Family (core)
485,Harris–Walz Campaign
486,Other / Low-Signal Clusters (mixed or unclear content)
487,Trump & Trump Family (core)
488,"2024 Election, Polls, Debates & Betting Markets"
489,Other / Low-Signal Clusters (mixed or unclear content)
490,Trump & Trump Family (core)
491,Trump & Trump Family (core)
492,"Race, Identity, DEI & Social Justice"
493,"International Affairs — UK, Ireland & Farage/Labour"
494,"Congress, Senate & Lawmakers"
495,"MAGA Movement, Base & Pro-Trump Influencer Accounts"
496,Trump & Trump Family (core)
497,"Congress, Senate & Lawmakers"
498,"MAGA Movement, Base & Pro-Trump Influencer Accounts"
499,Trump & Trump Family (core)
500,Trump & Trump Family (core)
501,International Affairs — Russia & Ukraine Conflict
502,Trump & Trump Family (core)
503,Trump & Trump Family (core)
504,"MAGA Movement, Base & Pro-Trump Influencer Accounts"
505,"International Affairs — UK, Ireland & Farage/Labour"
506,Trump & Trump Family (core)
507,"Media, Pundits, Journalists & Commentary"
508,"2024 Election, Polls, Debates & Betting Markets"
509,Other / Low-Signal Clusters (mixed or unclear content)
510,"2024 Election, Polls, Debates & Betting Markets"
511,"Media, Pundits, Journalists & Commentary"
512,"2024 Election, Polls, Debates & Betting Markets"
513,"Congress, Senate & Lawmakers"
514,Trump & Trump Family (core)
515,"2024 Election, Polls, Debates & Betting Markets"
516,"2024 Election, Polls, Debates & Betting Markets"
517,Trump & Trump Family (core)
518,International Affairs — Russia & Ukraine Conflict
519,"Economy, Tax, Tariffs & Business"
520,"Media, Pundits, Journalists & Commentary"
521,"Media, Pundits, Journalists & Commentary"
522,Biden Administration & Age/Cognitive Fitness
523,Other / Low-Signal Clusters (mixed or unclear content)
524,State & Local Politics
525,"MAGA Movement, Base & Pro-Trump Influencer Accounts"
526,Other / Low-Signal Clusters (mixed or unclear content)
527,International Affairs — Russia & Ukraine Conflict
528,Other / Low-Signal Clusters (mixed or unclear content)
529,"Congress, Senate & Lawmakers"
530,Other / Low-Signal Clusters (mixed or unclear content)
531,"International Affairs — UK, Ireland & Farage/Labour"
532,Biden Administration & Age/Cognitive Fitness
533,"International Affairs — UK, Ireland & Farage/Labour"
534,Trump & Trump Family (core)
535,"Congress, Senate & Lawmakers"
536,Other / Low-Signal Clusters (mixed or unclear content)
537,"Media, Pundits, Journalists & Commentary"
538,"International Affairs — UK, Ireland & Farage/Labour"
539,Biden Administration & Age/Cognitive Fitness
540,"Crypto, Bitcoin & DOGE"
541,"Crypto, Bitcoin & DOGE"
542,Trump & Trump Family (core)
543,"DOJ, FBI, Courts & Legal (SCOTUS, Immunity, Indictments)"
544,"2024 Election, Polls, Debates & Betting Markets"
545,"Media, Pundits, Journalists & Commentary"
546,Trump & Trump Family (core)
548,"Middle East: Israel–Gaza, Iran & Region"
549,Harris–Walz Campaign
550,Biden Administration & Age/Cognitive Fitness
551,"Media, Pundits, Journalists & Commentary"
552,Other / Low-Signal Clusters (mixed or unclear content)
553,International Affairs — Russia & Ukraine Conflict
554,Other / Low-Signal Clusters (mixed or unclear content)
555,Trump & Trump Family (core)
556,Trump & Trump Family (core)
557,"MAGA Movement, Base & Pro-Trump Influencer Accounts"
558,Other / Low-Signal Clusters (mixed or unclear content)
559,"MAGA Movement, Base & Pro-Trump Influencer Accounts"
560,"DOJ, FBI, Courts & Legal (SCOTUS, Immunity, Indictments)"
561,Harris–Walz Campaign
562,Other / Low-Signal Clusters (mixed or unclear content)
563,"2024 Election, Polls, Debates & Betting Markets"
564,Other / Low-Signal Clusters (mixed or unclear content)
565,Other / Low-Signal Clusters (mixed or unclear content)
566,Trump & Trump Family (core)
567,Trump & Trump Family (core)
568,Religion & Faith
569,Other / Low-Signal Clusters (mixed or unclear content)
571,"Government Officials & Cabinet (RFK, DeSantis, Newsom, etc.)"
572,"MAGA Movement, Base & Pro-Trump Influencer Accounts"
573,Trump & Trump Family (core)
574,Biden Administration & Age/Cognitive Fitness
575,"Crypto, Bitcoin & DOGE"
576,Trump & Trump Family (core)
577,Trump & Trump Family (core)
578,"2024 Election, Polls, Debates & Betting Markets"
579,Trump & Trump Family (core)
580,"Abortion, Reproductive Rights & IVF"
581,"2024 Election, Polls, Debates & Betting Markets"
582,"Middle East: Israel–Gaza, Iran & Region"
583,Other / Low-Signal Clusters (mixed or unclear content)
584,Other / Low-Signal Clusters (mixed or unclear content)
585,Other / Low-Signal Clusters (mixed or unclear content)
586,Trump & Trump Family (core)
587,Sports
588,Trump & Trump Family (core)
589,"2024 Election, Polls, Debates & Betting Markets"
590,Other / Low-Signal Clusters (mixed or unclear content)
591,Trump & Trump Family (core)
592,"Middle East: Israel–Gaza, Iran & Region"
593,"MAGA Movement, Base & Pro-Trump Influencer Accounts"
594,Trump & Trump Family (core)
595,Other / Low-Signal Clusters (mixed or unclear content)
596,Biden Administration & Age/Cognitive Fitness
597,Sports
598,"Media, Pundits, Journalists & Commentary"
599,Trump & Trump Family (core)
600,Other / Low-Signal Clusters (mixed or unclear content)
601,Trump & Trump Family (core)
602,"Crypto, Bitcoin & DOGE"
603,Trump & Trump Family (core)
604,Harris–Walz Campaign
605,Trump & Trump Family (core)
606,"2024 Election, Polls, Debates & Betting Markets"
607,Other / Low-Signal Clusters (mixed or unclear content)
608,Other / Low-Signal Clusters (mixed or unclear content)
609,"Congress, Senate & Lawmakers"
610,Other / Low-Signal Clusters (mixed or unclear content)
611,"Middle East: Israel–Gaza, Iran & Region"
612,Trump & Trump Family (core)
613,"2024 Election, Polls, Debates & Betting Markets"
614,Trump & Trump Family (core)
615,"MAGA Movement, Base & Pro-Trump Influencer Accounts"
616,Other / Low-Signal Clusters (mixed or unclear content)
617,"2024 Election, Polls, Debates & Betting Markets"
618,"Congress, Senate & Lawmakers"
619,Trump & Trump Family (core)
620,Trump & Trump Family (core)
621,Trump & Trump Family (core)
622,Vance & GOP VP Ticket
623,"Congress, Senate & Lawmakers"
624,International Affairs — Russia & Ukraine Conflict
625,"Media, Pundits, Journalists & Commentary"
626,"2024 Election, Polls, Debates & Betting Markets"
627,Biden Administration & Age/Cognitive Fitness
628,Trump & Trump Family (core)
629,"2024 Election, Polls, Debates & Betting Markets"
630,Harris–Walz Campaign
631,Biden Administration & Age/Cognitive Fitness
632,Other / Low-Signal Clusters (mixed or unclear content)
633,Harris–Walz Campaign
634,"Congress, Senate & Lawmakers"
635,Trump & Trump Family (core)
636,"2024 Election, Polls, Debates & Betting Markets"
637,Trump & Trump Family (core)
638,"2024 Election, Polls, Debates & Betting Markets"
639,Other / Low-Signal Clusters (mixed or unclear content)
640,International Affairs — Russia & Ukraine Conflict
641,"DOJ, FBI, Courts & Legal (SCOTUS, Immunity, Indictments)"
642,"Tech, Social Media & Elon Musk"
643,"2024 Election, Polls, Debates & Betting Markets"
644,"Media, Pundits, Journalists & Commentary"
645,"Congress, Senate & Lawmakers"
646,"DOJ, FBI, Courts & Legal (SCOTUS, Immunity, Indictments)"
647,Other / Low-Signal Clusters (mixed or unclear content)
648,Trump & Trump Family (core)
649,Trump & Trump Family (core)
651,Trump Assassination Attempt(s)
652,Trump & Trump Family (core)
653,Other / Low-Signal Clusters (mixed or unclear content)
654,Religion & Faith
655,Immigration & Border
656,Vance & GOP VP Ticket
657,"2024 Election, Polls, Debates & Betting Markets"
658,Trump & Trump Family (core)
659,"Congress, Senate & Lawmakers"
660,Trump & Trump Family (core)
661,"Media, Pundits, Journalists & Commentary"
662,"MAGA Movement, Base & Pro-Trump Influencer Accounts"
663,Harris–Walz Campaign
664,"2024 Election, Polls, Debates & Betting Markets"
665,Other / Low-Signal Clusters (mixed or unclear content)
666,"2024 Election, Polls, Debates & Betting Markets"
667,Trump & Trump Family (core)
668,"MAGA Movement, Base & Pro-Trump Influencer Accounts"
669,Trump & Trump Family (core)
670,Other / Low-Signal Clusters (mixed or unclear content)
671,"2024 Election, Polls, Debates & Betting Markets"
672,"2024 Election, Polls, Debates & Betting Markets"
673,Other / Low-Signal Clusters (mixed or unclear content)
674,Trump & Trump Family (core)
675,Trump & Trump Family (core)
676,"2024 Election, Polls, Debates & Betting Markets"
677,International Affairs — Russia & Ukraine Conflict
678,"2024 Election, Polls, Debates & Betting Markets"
679,Other / Low-Signal Clusters (mixed or unclear content)
680,Trump & Trump Family (core)
681,Trump & Trump Family (core)
682,Trump & Trump Family (core)
683,Trump & Trump Family (core)
684,Harris–Walz Campaign
685,"2024 Election, Polls, Debates & Betting Markets"
686,Other / Low-Signal Clusters (mixed or unclear content)
687,"DOJ, FBI, Courts & Legal (SCOTUS, Immunity, Indictments)"
688,Biden Administration & Age/Cognitive Fitness
689,International Affairs — Australia & NZ
690,"MAGA Movement, Base & Pro-Trump Influencer Accounts"
691,Trump & Trump Family (core)
692,Trump & Trump Family (core)
693,"International Affairs — Other (Asia, Europe, Global)"
694,"MAGA Movement, Base & Pro-Trump Influencer Accounts"
695,"2024 Election, Polls, Debates & Betting Markets"
